RECORD_ID,MMWR_WEEK,WEEK_START,WEEK_END,INFLUENZA_SEASON,CASES,AGE_0_4_COUNT,AGE_5_17_COUNT,AGE_18_24_COUNT,AGE_25_49_COUNT,AGE_50_64_COUNT,AGE_65_OVER_COUNT,AGE_UNKNOWN_COUNT,AGE_0_4_PCT,AGE_5_17_PCT,AGE_18_24_PCT,AGE_25_49_PCT,AGE_50_64_PCT,AGE_65_OVER_PCT,AGE_UNKNOWN_PCT,WHITE_NON_LATINX_COUNT,BLACK_NON_LATINX_COUNT,LATINX_COUNT,ASIAN_NON_LATINX_COUNT,NHPI_NON_LATINX_COUNT,AIAN_NON_LATINX_COUNT,OTHER_RACE_NON_LATINX_COUNT,UNKNOWN_RACE_ETHNICITY_COUNT,WHITE_NON_LATINX_PCT,BLACK_NON_LATINX_PCT,LATINX_PCT,ASIAN_NON_LATINX_PCT,NHPI_NON_LATINX_PCT,AIAN_NON_LATINX_PCT,OTHER_RACE_NON_LATINX_PCT,UNKNOWN_RACE_ETHNICITY_PCT,FEMALE_COUNT,MALE_COUNT,FEMALE_PCT,MALE_PCT,DEATHS_COUNT,DEATHS_PCT,FLUSHOT_REPORTED,FLUSHOT_COUNT,FLUSHOT_PCT,AH3N2_COUNT,ANOTSUB_COUNT,AH1N1_COUNT,B_COUNT,AH3N2_PCT,ANOTSUB_PCT,AH1N1_PCT,B_PCT
2024-09,9,02/25/2024,03/02/2024,2023-2024,11,0,0,1,2,2,6,0,0.00,0.00,0.09,0.18,0.18,0.55,0.00,4,6,1,0,0,0,0,0,0.36,0.55,0.09,0.00,0.00,0.00,0.00,0.00,5,6,0.45,0.55,1,0.09,6,4,0.67,0,7,1,3,0.00,0.64,0.09,0.27
2024-21,21,05/19/2024,05/25/2024,2023-2024,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0,0.00,0,0,0.00,0,0,0,0,0.00,0.00,0.00,0.00
2024-10,10,03/03/2024,03/09/2024,2023-2024,8,0,1,0,2,2,3,0,0.00,0.12,0.00,0.25,0.25,0.38,0.00,0,6,1,0,0,0,1,0,0.00,0.75,0.12,0.00,0.00,0.00,0.12,0.00,6,2,0.75,0.25,0,0.00,2,1,0.50,0,5,1,2,0.00,0.62,0.12,0.25
2024-07,7,02/11/2024,02/17/2024,2023-2024,13,0,1,2,5,1,4,0,0.00,0.08,0.15,0.38,0.08,0.31,0.00,1,7,4,1,0,0,0,0,0.08,0.54,0.31,0.08,0.00,0.00,0.00,0.00,10,3,0.77,0.23,1,0.08,6,3,0.50,3,5,1,4,0.23,0.38,0.08,0.31
2024-13,13,03/24/2024,03/30/2024,2023-2024,3,1,0,0,0,1,1,0,0.33,0.00,0.00,0.00,0.33,0.33,0.00,0,2,1,0,0,0,0,0,0.00,0.67,0.33,0.00,0.00,0.00,0.00,0.00,1,2,0.33,0.67,0,0.00,2,2,1.00,1,0,0,2,0.33,0.00,0.00,0.67
2024-15,15,04/07/2024,04/13/2024,2023-2024,6,1,2,0,1,1,1,0,0.17,0.33,0.00,0.17,0.17,0.17,0.00,0,5,1,0,0,0,0,0,0.00,0.83,0.17,0.00,0.00,0.00,0.00,0.00,3,3,0.50,0.50,0,0.00,3,1,0.33,0,3,0,3,0.00,0.50,0.00,0.50
2024-11,11,03/10/2024,03/16/2024,2023-2024,14,1,3,0,3,6,1,0,0.07,0.21,0.00,0.21,0.43,0.07,0.00,2,9,2,1,0,0,0,0,0.14,0.64,0.14,0.07,0.00,0.00,0.00,0.00,7,7,0.50,0.50,1,0.07,9,5,0.56,1,7,2,4,0.07,0.50,0.14,0.29
2024-23,23,06/02/2024,06/08/2024,2023-2024,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0,0.00,0,0,0.00,0,0,0,0,0.00,0.00,0.00,0.00
2024-14,14,03/31/2024,04/06/2024,2023-2024,3,0,0,0,0,1,2,0,0.00,0.00,0.00,0.00,0.33,0.67,0.00,0,3,0,0,0,0,0,0,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1,2,0.33,0.67,1,0.33,2,0,0.00,0,3,0,0,0.00,1.00,0.00,0.00
2024-17,17,04/21/2024,04/27/2024,2023-2024,3,1,0,0,0,0,2,0,0.33,0.00,0.00,0.00,0.00,0.67,0.00,1,0,1,0,0,0,0,1,0.33,0.00,0.33,0.00,0.00,0.00,0.00,0.33,2,1,0.67,0.33,1,0.33,1,1,1.00,0,2,0,1,0.00,0.67,0.00,0.33
2024-16,16,04/14/2024,04/20/2024,2023-2024,7,3,1,0,1,1,1,0,0.43,0.14,0.00,0.14,0.14,0.14,0.00,1,4,2,0,0,0,0,0,0.14,0.57,0.29,0.00,0.00,0.00,0.00,0.00,3,4,0.43,0.57,0,0.00,6,2,0.33,1,2,2,2,0.14,0.29,0.29,0.29
2024-19,19,05/05/2024,05/11/2024,2023-2024,2,0,0,1,0,0,1,0,0.00,0.00,0.50,0.00,0.00,0.50,0.00,0,1,0,1,0,0,0,0,0.00,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0,2,0.00,1.00,1,0.50,0,0,0.00,0,1,0,0,0.00,1.00,0.00,0.00
2024-04,4,01/21/2024,01/27/2024,2023-2024,11,0,1,0,1,4,5,0,0.00,0.09,0.00,0.09,0.36,0.45,0.00,1,9,0,0,0,0,0,1,0.09,0.82,0.00,0.00,0.00,0.00,0.00,0.09,6,5,0.55,0.45,2,0.18,6,4,0.67,3,3,3,2,0.27,0.27,0.27,0.18
2024-24,24,06/09/2024,06/15/2024,2023-2024,1,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0,1,0,0,0,0,0,0,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0,1.00,0.00,0,0.00,0,0,0.00,0,1,0,0,0.00,1.00,0.00,0.00
2024-18,18,04/28/2024,05/04/2024,2023-2024,1,0,0,0,1,0,0,0,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0,0,1,0,0,0,0,0,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0,1,0.00,1.00,0,0.00,1,0,0.00,0,1,0,0,0.00,1.00,0.00,0.00
2024-20,20,05/12/2024,05/18/2024,2023-2024,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0,0.00,0,0,0.00,0,0,0,0,0.00,0.00,0.00,0.00
2024-22,22,05/26/2024,06/01/2024,2023-2024,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0,0.00,0,0,0.00,0,0,0,0,0.00,0.00,0.00,0.00
2024-08,8,02/18/2024,02/24/2024,2023-2024,9,1,0,0,1,2,5,0,0.11,0.00,0.00,0.11,0.22,0.56,0.00,3,3,1,1,0,0,0,1,0.33,0.33,0.11,0.11,0.00,0.00,0.00,0.11,3,6,0.33,0.67,2,0.22,6,4,0.67,1,4,3,1,0.11,0.44,0.33,0.11
2024-12,12,03/17/2024,03/23/2024,2023-2024,7,0,2,1,1,2,1,0,0.00,0.29,0.14,0.14,0.29,0.14,0.00,1,4,1,0,0,0,1,0,0.14,0.57,0.14,0.00,0.00,0.00,0.14,0.00,3,4,0.43,0.57,2,0.29,5,3,0.60,3,1,2,1,0.43,0.14,0.29,0.14
2024-25,25,06/16/2024,06/22/2024,2023-2024,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0,0.00,0,0,0.00,0,0,0,0,0.00,0.00,0.00,0.00
2024-26,26,06/23/2024,06/29/2024,2023-2024,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0,0.00,0,0,0.00,0,0,0,0,0.00,0.00,0.00,0.00
2024-27,27,06/30/2024,07/06/2024,2023-2024,1,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0,0,1,0,0,0,0,0,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0,1,0.00,1.00,0,0.00,0,0,0.00,0,1,0,0,0.00,1.00,0.00,0.00
2024-28,28,07/07/2024,07/13/2024,2023-2024,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0,0.00,0,0,0.00,0,0,0,0,0.00,0.00,0.00,0.00
2015-40,40,10/04/2015,10/10/2015,2015-2016,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0,0.00,0,0,0.00,0,0,0,0,0.00,0.00,0.00,0.00
2015-41,41,10/11/2015,10/17/2015,2015-2016,1,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1,0,0,0,0,0,0,0,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1,0.00,1.00,0,0.00,1,0,0.00,0,0,1,0,0.00,0.00,1.00,0.00
2015-42,42,10/18/2015,10/24/2015,2015-2016,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0,0.00,0,0,0.00,0,0,0,0,0.00,0.00,0.00,0.00
2015-43,43,10/25/2015,10/31/2015,2015-2016,1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0,0,1,0,0,0,0,0,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0,1,0.00,1.00,1,1.00,1,1,1.00,0,1,0,0,0.00,1.00,0.00,0.00
2015-44,44,11/01/2015,11/07/2015,2015-2016,1,0,0,0,1,0,0,0,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1,0,0,0,0,0,0,0,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0,1.00,0.00,0,0.00,0,0,0.00,0,1,0,0,0.00,1.00,0.00,0.00
2015-45,45,11/08/2015,11/14/2015,2015-2016,2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0,2,0,0,0,0,0,0,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2,0,1.00,0.00,1,0.50,1,0,0.00,1,1,0,0,0.50,0.50,0.00,0.00
2015-46,46,11/15/2015,11/21/2015,2015-2016,1,1,0,0,0,0,0,0,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,1,0,0,0,0,0,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0,1,0.00,1.00,0,0.00,1,1,1.00,0,1,0,0,0.00,1.00,0.00,0.00
2015-47,47,11/22/2015,11/28/2015,2015-2016,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0,0.00,0,0,0.00,0,0,0,0,0.00,0.00,0.00,0.00
2015-48,48,11/29/2015,12/05/2015,2015-2016,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0,0.00,0,0,0.00,0,0,0,0,0.00,0.00,0.00,0.00
2015-49,49,12/06/2015,12/12/2015,2015-2016,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0,0.00,0,0,0.00,0,0,0,0,0.00,0.00,0.00,0.00
2015-50,50,12/13/2015,12/19/2015,2015-2016,2,0,0,0,1,0,1,0,0.00,0.00,0.00,0.50,0.00,0.50,0.00,0,2,0,0,0,0,0,0,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2,0.00,1.00,0,0.00,1,0,0.00,0,2,0,0,0.00,1.00,0.00,0.00
2015-51,51,12/20/2015,12/26/2015,2015-2016,4,0,0,0,2,0,2,0,0.00,0.00,0.00,0.50,0.00,0.50,0.00,2,1,0,1,0,0,0,0,0.50,0.25,0.00,0.25,0.00,0.00,0.00,0.00,1,3,0.25,0.75,0,0.00,4,1,0.25,0,1,3,0,0.00,0.25,0.75,0.00
2015-52,52,12/27/2015,01/02/2016,2015-2016,2,0,0,0,0,1,1,0,0.00,0.00,0.00,0.00,0.50,0.50,0.00,1,1,0,0,0,0,0,0,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0,2,0.00,1.00,0,0.00,2,1,0.50,1,1,0,0,0.50,0.50,0.00,0.00
2016-01,1,01/03/2016,01/09/2016,2015-2016,3,0,0,0,2,0,1,0,0.00,0.00,0.00,0.67,0.00,0.33,0.00,0,1,0,0,0,0,1,1,0.00,0.33,0.00,0.00,0.00,0.00,0.33,0.33,1,2,0.33,0.67,0,0.00,2,1,0.50,0,1,2,0,0.00,0.33,0.67,0.00
2016-02,2,01/10/2016,01/16/2016,2015-2016,7,0,1,0,2,2,2,0,0.00,0.14,0.00,0.29,0.29,0.29,0.00,2,4,1,0,0,0,0,0,0.29,0.57,0.14,0.00,0.00,0.00,0.00,0.00,0,7,0.00,1.00,0,0.00,3,1,0.33,0,4,3,0,0.00,0.57,0.43,0.00
2016-03,3,01/17/2016,01/23/2016,2015-2016,5,0,0,1,0,3,1,0,0.00,0.00,0.20,0.00,0.60,0.20,0.00,2,2,1,0,0,0,0,0,0.40,0.40,0.20,0.00,0.00,0.00,0.00,0.00,2,3,0.40,0.60,0,0.00,3,2,0.67,0,4,1,0,0.00,0.80,0.20,0.00
2016-04,4,01/24/2016,01/30/2016,2015-2016,15,0,2,0,6,4,3,0,0.00,0.13,0.00,0.40,0.27,0.20,0.00,6,8,1,0,0,0,0,0,0.40,0.53,0.07,0.00,0.00,0.00,0.00,0.00,6,9,0.40,0.60,5,0.33,11,0,0.00,1,6,8,0,0.07,0.40,0.53,0.00
2016-05,5,01/31/2016,02/06/2016,2015-2016,9,2,1,0,3,2,1,0,0.22,0.11,0.00,0.33,0.22,0.11,0.00,1,5,3,0,0,0,0,0,0.11,0.56,0.33,0.00,0.00,0.00,0.00,0.00,5,4,0.56,0.44,0,0.00,8,2,0.25,0,3,6,0,0.00,0.33,0.67,0.00
